Emoji,Unicode Name,Description
🔬,Microscope,science microscope
🚂,Locomotive,rail train
🕯️,Candle,candle romantic
📑,Bookmark Tabs,bookmark
😊,Smiling Face with Smiling Eyes,cheerful spirit
🧼,Soap,soap clean
🥗,Green Salad,lettuce and spinach
🧭,Compass,guide for travel
🔔,Bell,alarm
🍦,Soft Serve,cream
🧹,Broom,sweeping up dust
📡,Satellite Antenna,communication
🚂,Locomotive,metal
🧸,Teddy Bear,teddy
🤔,Thinking Face,thinking cap on
🤔,Thinking Face,pondering the future
🔨,Hammer,repair hammer
🔒,Locked,protection and safety
☕,Hot Beverage,caffeine
⌚,Watch,ticking
🍕,Pizza,food
🏀,Basketball,orange ball
📡,Satellite Antenna,antenna satellite
✨,Sparkles,fresh
🥳,Partying Face,festive vibes
💀,Skull,morbid
☕,Hot Beverage,steam
📈,Chart Increasing,direction
🪒,Razor,bathroom accessory
🔋,Battery,low battery life
🖋️,Fountain Pen,ink
🛏️,Bed,mattress and pillow
😴,Sleeping Face,bed
🔌,Electric Plug,socket and plug
🍺,Beer Mug,beer
📑,Bookmark Tabs,tabs tool
🔭,Telescope,space
🎁,Wrapped Gift,present
🌧️,Cloud with Rain,storm
🏀,Basketball,dunking on the net
✈️,Airplane,pilot cabin
🧹,Broom,handle
🔔,Bell,classic
✏️,Pencil,office supply
📂,Open File Folder,file folder
⌛,Hourglass Done,gravity
🥳,Partying Face,confetti and joy
🛋️,Couch and Lamp,lounge
⌚,Watch,watch ticking
😭,Loudly Crying Face,crying emoji
📏,Straight Ruler,ruler math
🍔,Hamburger,meat burger
😍,Smiling Face with Heart-Eyes,so cute
☀️,Sun,shining sun
🧬,DNA,dna spiral
✨,Sparkles,magical fairy dust
🔌,Electric Plug,outlet
🔋,Battery,power
📸,Camera with Flash,photographer
☀️,Sun,bright sun
🤣,Rolling on the Floor Laughing,ridiculous
🔨,Hammer,fix hammer
🌡️,Thermometer,medical thermometer
🛁,Bathtub,deep water wash
🚽,Toilet,flushing toilet
🛁,Bathtub,soaking in water
😂,Face with Tears of Joy,oh my god lol
🍔,Hamburger,lunch burger
💔,Broken Heart,grief
🍔,Hamburger,seeds
✨,Sparkles,luxury
🔥,Fire,hot and spicy
🔒,Locked,security
🤣,Rolling on the Floor Laughing,laughing hard
🔦,Flashlight,flashlight tool
🍕,Pizza,sauce
🌈,Rainbow,arc
🍕,Pizza,italian food
🚂,Locomotive,railway locomotive
🏮,Red Paper Lantern,lantern paper
💻,Laptop,tech laptop
🥗,Green Salad,vegetable
🚿,Shower,shower hot
🔋,Battery,battery power
🤡,Clown Face,scary face
🚀,Rocket,high speed travel
🔭,Telescope,stars watch
👍,Thumbs Up,okay
💻,Laptop,laptop screen open
🕰️,Mantelpiece Clock,clock vintage
📑,Bookmark Tabs,sticky tabs
🧸,Teddy Bear,soft toy bear
🛋️,Couch and Lamp,home couch
🐶,Dog Face,dog friend
💡,Light Bulb,finding a solution
🎈,Balloon,light and airy
🔋,Battery,storage battery
🚪,Door,gate
🔌,Electric Plug,socket
😊,Smiling Face with Smiling Eyes,positive vibes
🍔,Hamburger,patty
🖋️,Fountain Pen,calligraphy tool
📑,Bookmark Tabs,page marking
⌛,Hourglass Done,sand glass
📂,Open File Folder,file data
🔌,Electric Plug,electricity plug
📡,Satellite Antenna,receiving signals
🍷,Wine Glass,wine merit
☀️,Sun,yellow
✂️,Scissors,scissors craft
😊,Smiling Face with Smiling Eyes,friendly smile
🤔,Thinking Face,internal dialogue
🍺,Beer Mug,beer mug
🥳,Partying Face,happy times
🔬,Microscope,microscope biology
🗺️,World Map,study
❤️,Red Heart,stay in love
🌡️,Thermometer,degree of heat
🌡️,Thermometer,cold thermometer
🪒,Razor,razor blade
🛋️,Couch and Lamp,couch
🎾,Tennis,yellow ball
🛳️,Passenger Ship,ship sea
📑,Bookmark Tabs,categorizing info
🔋,Battery,source
✏️,Pencil,writing and drawing
🍎,Red Apple,apple red
🐶,Dog Face,friendly pet face
📂,Open File Folder,data folder
☕,Hot Beverage,beverage
📏,Straight Ruler,measurement scale
📏,Straight Ruler,ruler
❤️,Red Heart,i heart you
🏠,House,residential
🛁,Bathtub,soaking bath
🐱,Cat Face,cat whiskers
😍,Smiling Face with Heart-Eyes,fan boy
😊,Smiling Face with Smiling Eyes,joyful soul
🧬,DNA,complex spiral
📈,Chart Increasing,business is doing well
🎈,Balloon,decoration
💊,Pill,pill pharmacy
🛁,Bathtub,soaking
🔋,Battery,charging the device
📚,Books,study books
🌈,Rainbow,nature colors
😍,Smiling Face with Heart-Eyes,looking amazing
🤣,Rolling on the Floor Laughing,laughing out loud
💊,Pill,chemical
📂,Open File Folder,file
💻,Laptop,device
🚂,Locomotive,smoke
🙏,Folded Hands,respect
🛏️,Bed,sleeping
🎈,Balloon,festive balloon
🌧️,Cloud with Rain,wet
🍦,Soft Serve,snack at the beach
✂️,Scissors,project scissors
🖼️,Framed Picture,painting frame
🚀,Rocket,results
🔥,Fire,that outfit is lit
❄️,Snowflake,water snowflake
🥗,Green Salad,plant
🍰,Shortcake,cake piece
🤣,Rolling on the Floor Laughing,giggle fit
🤡,Clown Face,you are being silly
🎾,Tennis,baseline
🔥,Fire,hot track
😂,Face with Tears of Joy,cant stop laughing
🥗,Green Salad,meal
🚀,Rocket,power launch
📡,Satellite Antenna,antenna signals
🚿,Shower,routine
🐱,Cat Face,soft fur pet
😭,Loudly Crying Face,sad face
😎,Smiling Face with Sunglasses,boss
🖼️,Framed Picture,hanging art
📸,Camera with Flash,moment
🔥,Fire,fire in the sky
💡,Light Bulb,creativity bulb
🍷,Wine Glass,deep red liquid
🔨,Hammer,metal
🚀,Rocket,ambitious power
🚪,Door,wooden door
🍺,Beer Mug,drinking cold beer
🤣,Rolling on the Floor Laughing,funny as hell
🖋️,Fountain Pen,pen elegant
📈,Chart Increasing,growth
📚,Books,student books
😴,Sleeping Face,exhausted and out
🔥,Fire,on a hot streak
🥪,Sandwich,deli
🖼️,Framed Picture,museum art
💻,Laptop,remote laptop
📱,Mobile Phone,digital mobile
🔒,Locked,locked access
📈,Chart Increasing,business vibes
🧺,Basket,woven storage
🎈,Balloon,decoration balloon
✨,Sparkles,prestige
🥪,Sandwich,meal
🙏,Folded Hands,namaste yoga
🍷,Wine Glass,red
🏠,House,cozy
🛁,Bathtub,bathtub soap
🛏️,Bed,bed sleep
🙄,Face with Rolling Eyes,annoyed face
🥪,Sandwich,sandwich lunch
✂️,Scissors,supplies
🕯️,Candle,vigil
☀️,Sun,bright sunny day
🛋️,Couch and Lamp,interior design
🐶,Dog Face,friendly dog
🏠,House,estate
🙄,Face with Rolling Eyes,whatever dude
🏮,Red Paper Lantern,holiday light
🔬,Microscope,tool microscope
💔,Broken Heart,trust
💻,Laptop,business
🥪,Sandwich,lunch sandwich
😴,Sleeping Face,midnight
📱,Mobile Phone,technology phone
🚗,Automobile,wheels and engine
📍,Round Pushpin,location mark
🐱,Cat Face,domestic cat head
🚿,Shower,shower head
🔨,Hammer,nail hammer
🧼,Soap,soap hands
💰,Money Bag,prosperity
🖋️,Fountain Pen,fountain ink
🪒,Razor,hair razor
☕,Hot Beverage,warm liquid drink
🕯️,Candle,romantic lighting
😭,Loudly Crying Face,sad vibes
🚗,Automobile,garage parked car
❤️,Red Heart,heart and soul
🎈,Balloon,rubber
🔨,Hammer,repair and fix
💡,Light Bulb,idea bulb
🚽,Toilet,flushing water
📓,Notebook,journal entry
🚂,Locomotive,funnel
😂,Face with Tears of Joy,funny story
🔨,Hammer,hand hammer
🥪,Sandwich,tasty
🚀,Rocket,blast
📂,Open File Folder,folder organization
🔔,Bell,golden
💰,Money Bag,dollar
🔒,Locked,shut
📱,Mobile Phone,smartphone phone
🛳️,Passenger Ship,ship water
📏,Straight Ruler,construction ruler
🍺,Beer Mug,foam
😎,Smiling Face with Sunglasses,energy only
🔔,Bell,alert bell
🛁,Bathtub,wash
🧸,Teddy Bear,memory
🌧️,Cloud with Rain,rain
🌈,Rainbow,variety
🍎,Red Apple,shiny fruit surface
📓,Notebook,notebook paper
🧺,Basket,shopping basket
⚽,Soccer Ball,match
✨,Sparkles,magical day
🤔,Thinking Face,questioning the logic
🍎,Red Apple,apple skin
💰,Money Bag,earnings bag
⌚,Watch,formal watch
⌚,Watch,watch track
🪒,Razor,sharp
😂,Face with Tears of Joy,great punchline
💡,Light Bulb,yellow
😍,Smiling Face with Heart-Eyes,fan girl
🤡,Clown Face,scary clown
🎁,Wrapped Gift,holiday gift
💔,Broken Heart,unrequited
🖋️,Fountain Pen,stationary
📍,Round Pushpin,geo mark
🙄,Face with Rolling Eyes,so over it
🎸,Guitar,work
✈️,Airplane,vacation
🌈,Rainbow,bright light
🤡,Clown Face,mockery
🤡,Clown Face,foolishness
🛋️,Couch and Lamp,decor couch
😊,Smiling Face with Smiling Eyes,peaceful mind
💰,Money Bag,bag of cash
🪒,Razor,grooming routine
🔋,Battery,battery electronic
😂,Face with Tears of Joy,peak humor
📡,Satellite Antenna,waves
🚿,Shower,shower head
🚀,Rocket,space travel ship
🛁,Bathtub,water soak
🚲,Bicycle,health
🔥,Fire,spicy take
🧪,Test Tube,tube testing
🧭,Compass,path finding
🎁,Wrapped Gift,package
🚿,Shower,hot shower
🤣,Rolling on the Floor Laughing,ground
🙄,Face with Rolling Eyes,i am so annoyed
🚪,Door,handle
🔭,Telescope,tool
🔬,Microscope,discovery and study
😂,Face with Tears of Joy,stop it im crying
📓,Notebook,paper notebook
🐱,Cat Face,whiskers
✏️,Pencil,art pencil
⚽,Soccer Ball,game
📂,Open File Folder,open file
🚿,Shower,washing body
🍰,Shortcake,sweets
🚗,Automobile,motor car
📚,Books,love for reading
🔭,Telescope,planet watching
🐶,Dog Face,breed dog
🥪,Sandwich,food sandwich
📡,Satellite Antenna,antenna dish
🚀,Rocket,project
🚿,Shower,hot water stream
🗺️,World Map,charting a path
🎈,Balloon,child's birthday
☕,Hot Beverage,caffeine boost
🤔,Thinking Face,making a choice
📈,Chart Increasing,positive trend
🔒,Locked,locked
🔥,Fire,orange and yellow flames
📈,Chart Increasing,success
💡,Light Bulb,light idea
🏮,Red Paper Lantern,red light
🚿,Shower,bathroom
🚲,Bicycle,bike path ride
🌧️,Cloud with Rain,day
🏮,Red Paper Lantern,lantern holiday
🖼️,Framed Picture,decoration
🌈,Rainbow,after rain
✈️,Airplane,flying on vacation
💻,Laptop,typing laptop
✈️,Airplane,traveling
🍕,Pizza,cheesy pizza
🧬,DNA,science and life
😍,Smiling Face with Heart-Eyes,amazing view
🏠,House,indoor house
💊,Pill,pill pharmacy
🕯️,Candle,soft candle flame
✏️,Pencil,office
📈,Chart Increasing,scaling
🗺️,World Map,map geography
🚀,Rocket,power
💰,Money Bag,coins
🕰️,Mantelpiece Clock,clock mechanical
🐶,Dog Face,playing dog
❄️,Snowflake,snowflake crystal
🔋,Battery,device
🛁,Bathtub,bathroom relaxation
🗺️,World Map,travel
📸,Camera with Flash,visual
📑,Bookmark Tabs,tab bookmark
🍰,Shortcake,sweet cake
🤔,Thinking Face,i am wondering about that
🥪,Sandwich,slice sandwich
✏️,Pencil,graphite lead tip
😴,Sleeping Face,slumber face
🔦,Flashlight,flashlight handheld
💀,Skull,life
🍦,Soft Serve,cone
🌍,Globe Showing Europe-Africa,nature
🥪,Sandwich,quick sandwich
🧸,Teddy Bear,decor
🚿,Shower,shower bathroom
📈,Chart Increasing,improving every day
🎈,Balloon,floating party decoration
🐶,Dog Face,dog friendly
📡,Satellite Antenna,space communication
🍕,Pizza,cheesy crust pizza
🍷,Wine Glass,romantic evening toast
🔒,Locked,privacy is on
🕯️,Candle,candle lamp
🔭,Telescope,tool telescope
📂,Open File Folder,office
❄️,Snowflake,delicate
💻,Laptop,developer laptop
🤔,Thinking Face,undecided
✨,Sparkles,magic
🐶,Dog Face,domestic dog breed
🕰️,Mantelpiece Clock,time clock
❤️,Red Heart,falling in love
🌍,Globe Showing Europe-Africa,travel
✈️,Airplane,soaring in clouds
📍,Round Pushpin,meet here
🌍,Globe Showing Europe-Africa,news
🎸,Guitar,concert guitar
🖼️,Framed Picture,frame art
🍎,Red Apple,apple garden
🔦,Flashlight,tool
😎,Smiling Face with Sunglasses,sunny vibes
🚪,Door,entry door
🚲,Bicycle,bike travel
🛏️,Bed,sleeping bed
✨,Sparkles,glowing skin
🍷,Wine Glass,toast
🚿,Shower,daily routine
🏠,House,real estate asset
🎈,Balloon,party supply
🌡️,Thermometer,digital
✨,Sparkles,shine
🍰,Shortcake,dessert cake
🧬,DNA,dna genetic
🔔,Bell,crowd
🚀,Rocket,fast growth
😴,Sleeping Face,sleepy face
🧪,Test Tube,science tube
🔔,Bell,bell shape
🧭,Compass,dial
🥗,Green Salad,raw vegetable mix
✈️,Airplane,airport and runway
🧹,Broom,broom tool
☕,Hot Beverage,boost hot
❄️,Snowflake,frozen
🍎,Red Apple,teacher
🚲,Bicycle,bike
🔌,Electric Plug,power
😍,Smiling Face with Heart-Eyes,i am lovestruck
🍎,Red Apple,apple habits
⌛,Hourglass Done,measured
💰,Money Bag,dollar bag
📑,Bookmark Tabs,bookmark tool
🔋,Battery,battery charging
🔋,Battery,battery source
🥗,Green Salad,health salad
✈️,Airplane,trip
✈️,Airplane,airport runway
😍,Smiling Face with Heart-Eyes,amazing style
🔑,Key,finding the answer
🕯️,Candle,candle glow
💻,Laptop,web
🛁,Bathtub,spa
🧹,Broom,tool broom
📍,Round Pushpin,location pin
👍,Thumbs Up,good job
🧬,DNA,genetic code
🍦,Soft Serve,delicious
🧸,Teddy Bear,bear brown
🧬,DNA,traits
😎,Smiling Face with Sunglasses,sunglasses emoji
❤️,Red Heart,deep heart
❤️,Red Heart,red love
🏠,House,house family
🚂,Locomotive,iron
🤡,Clown Face,a total joke
🤣,Rolling on the Floor Laughing,cant stop laughing
🛋️,Couch and Lamp,light
✂️,Scissors,project
🏀,Basketball,basketball net
🧸,Teddy Bear,plushie
🎈,Balloon,celebration balloon
🥳,Partying Face,great vibes
🏀,Basketball,day excitement
🧬,DNA,research
🔔,Bell,sound of music
🥪,Sandwich,cheese
🤣,Rolling on the Floor Laughing,funniest
🔑,Key,secret key
🚀,Rocket,progress
🔥,Fire,on a roll
📂,Open File Folder,file open
🏮,Red Paper Lantern,celebration
🕰️,Mantelpiece Clock,old clock
🛏️,Bed,rest bed
🍔,Hamburger,cheese burger
😴,Sleeping Face,sleep
✈️,Airplane,flying airplane
📱,Mobile Phone,calling
📓,Notebook,ideas
🛁,Bathtub,warm water bath
📏,Straight Ruler,ruler tool
🤡,Clown Face,performer
📂,Open File Folder,folder file
🙄,Face with Rolling Eyes,impatient vibe
🛋️,Couch and Lamp,relaxing
🔬,Microscope,laboratory
🤣,Rolling on the Floor Laughing,laughing fit
🔥,Fire,campfire vibes
⌚,Watch,watch wrist
🚪,Door,door hinges
🍦,Soft Serve,soft cream
🔋,Battery,cell
🚗,Automobile,four door sedan
🚲,Bicycle,cycling
🥗,Green Salad,lettuce salad
🚂,Locomotive,metal train
📍,Round Pushpin,map point
📚,Books,books library
🪒,Razor,tool razor
💔,Broken Heart,aching vibes
🌧️,Cloud with Rain,water for plants
🔑,Key,secret to life
😴,Sleeping Face,dreaming face
😊,Smiling Face with Smiling Eyes,content
🍔,Hamburger,bun burger
🤔,Thinking Face,reconsidering
😴,Sleeping Face,sleep face
🥳,Partying Face,celebrate
🍺,Beer Mug,mug
🔑,Key,key metal
🔒,Locked,keeping things safe
🤡,Clown Face,funny weird
✨,Sparkles,sparkly clean
📑,Bookmark Tabs,marking the page
😭,Loudly Crying Face,crying in the club
🛏️,Bed,pillow
🧼,Soap,germ killer
🔭,Telescope,sky watch
🏮,Red Paper Lantern,decorative lamp
☀️,Sun,sunrise
🌍,Globe Showing Europe-Africa,community earth
🍷,Wine Glass,spirit wine
🥳,Partying Face,festive and fun times
🧬,DNA,medicine dna
🎁,Wrapped Gift,box
⌛,Hourglass Done,ancient
🍺,Beer Mug,cold
🖼️,Framed Picture,artistic expression
🔌,Electric Plug,cord plug
🥗,Green Salad,plant salad
❄️,Snowflake,temp
🔨,Hammer,work hammer
🍎,Red Apple,snack apple
🙄,Face with Rolling Eyes,disbelief
💊,Pill,small pill
🍕,Pizza,delicious melted cheese
📍,Round Pushpin,destination
📱,Mobile Phone,smartphone
📚,Books,learn books
💔,Broken Heart,deep sorrow
🎈,Balloon,balloon party
🙏,Folded Hands,namaste
🔒,Locked,private lock
🙄,Face with Rolling Eyes,disbelief vibes
😎,Smiling Face with Sunglasses,beach vibes
🎸,Guitar,loud music vibes
💰,Money Bag,earnings
☕,Hot Beverage,drink
🌍,Globe Showing Europe-Africa,global world view
🍔,Hamburger,juicy beef burger
🗺️,World Map,geography map
🚗,Automobile,transport
😊,Smiling Face with Smiling Eyes,glowing with inner peace
⚽,Soccer Ball,soccer team
😴,Sleeping Face,quiet
🌈,Rainbow,colors
💡,Light Bulb,glowing bulb
🪒,Razor,razor hair
💰,Money Bag,money coins
📓,Notebook,notebook writing
🤔,Thinking Face,curious mind
💻,Laptop,keyboard typing
🔔,Bell,school bell ring
🐱,Cat Face,cat fur
✨,Sparkles,shine on
🧼,Soap,cleaning
🧬,DNA,science dna
🚀,Rocket,travel
📚,Books,education
🧸,Teddy Bear,animal
✏️,Pencil,pencil
🚲,Bicycle,bike vehicle
🔨,Hammer,hammer tool
🌡️,Thermometer,thermometer medical
🏮,Red Paper Lantern,red lantern
🌧️,Cloud with Rain,sad weather vibes
📓,Notebook,spiral
🛳️,Passenger Ship,hull
🧭,Compass,finding north
🙏,Folded Hands,blessing
💻,Laptop,software life
🧬,DNA,biological helix
🌧️,Cloud with Rain,grey sky rain
⌛,Hourglass Done,task time
🍷,Wine Glass,relaxing with alcohol
🚗,Automobile,travel by motor
🚪,Door,door opening
🌡️,Thermometer,thermometer temperature
✂️,Scissors,scissors sharp
🚪,Door,indoor
🍎,Red Apple,red
😴,Sleeping Face,sleepy
😍,Smiling Face with Heart-Eyes,eyes full of hearts
📂,Open File Folder,data folder
🚗,Automobile,commute
✨,Sparkles,something shiny and new
📍,Round Pushpin,i'm here
💊,Pill,health pill
🌈,Rainbow,rain
⚽,Soccer Ball,world
🚂,Locomotive,engine on tracks
🧭,Compass,north
❤️,Red Heart,beautiful soul
🖋️,Fountain Pen,signature pen
🌧️,Cloud with Rain,outside rain
💡,Light Bulb,solution
💡,Light Bulb,bulb
🙏,Folded Hands,blessed
🥪,Sandwich,snack
📡,Satellite Antenna,signal data
🙄,Face with Rolling Eyes,whatever
✏️,Pencil,pencil writing
🌈,Rainbow,colorful sky
🍰,Shortcake,celebrating with sweets
🏮,Red Paper Lantern,paper
🛁,Bathtub,bathtub water
🚪,Door,entry
🔌,Electric Plug,connecting to power
🍔,Hamburger,beef
🔭,Telescope,telescope astronomy
😍,Smiling Face with Heart-Eyes,amazing beauty
⌚,Watch,punctuality and schedule
🚿,Shower,hot
🍷,Wine Glass,wine sophisticated
🏮,Red Paper Lantern,decor
😴,Sleeping Face,exhausted
💡,Light Bulb,moment bulb
😂,Face with Tears of Joy,rolling on the floor laughing
🌧️,Cloud with Rain,sad
✨,Sparkles,cleaning and glowing
💔,Broken Heart,lonely vibes
🎈,Balloon,flying in air
✏️,Pencil,graphite pencil
💰,Money Bag,money bag
🔔,Bell,golden bell shape
✨,Sparkles,glow up
🚿,Shower,cleaning
🎈,Balloon,air
🔨,Hammer,metal hammer head
🎈,Balloon,symbol
🧼,Soap,water
⌚,Watch,time
☕,Hot Beverage,drink mug
🔋,Battery,device battery
🖼️,Framed Picture,art frame
🔭,Telescope,lens
☕,Hot Beverage,boost
🐱,Cat Face,cat kitty
🧸,Teddy Bear,teddy animal
😎,Smiling Face with Sunglasses,feeling cool and confident
🤣,Rolling on the Floor Laughing,rofl
🧬,DNA,double helix dna
🤡,Clown Face,mockery face
😂,Face with Tears of Joy,tears of laughter
💔,Broken Heart,pieces of a heart
🐶,Dog Face,man
🔋,Battery,green
🙏,Folded Hands,thank you from bottom of heart
🧺,Basket,wicker
🐶,Dog Face,ears
🧭,Compass,explorer
🐱,Cat Face,kitty cat
🌧️,Cloud with Rain,umbrella
🔬,Microscope,lens microscope
🛋️,Couch and Lamp,watching tv
🥪,Sandwich,cheese sandwich
📸,Camera with Flash,light
🤔,Thinking Face,deep thought and pondering
📸,Camera with Flash,camera photo
🚪,Door,door gate
🚀,Rocket,growth
🔋,Battery,storage
🧪,Test Tube,solutions
🔋,Battery,life battery
❄️,Snowflake,skiing and skating
💊,Pill,small
🏀,Basketball,dribbling the rock
☕,Hot Beverage,warm
🕰️,Mantelpiece Clock,classic clock
🚲,Bicycle,outdoor bike
🙄,Face with Rolling Eyes,frustration face
🧹,Broom,broom manual
🎈,Balloon,celebration
🚽,Toilet,toilet flushing
🍕,Pizza,junk food for dinner
🔋,Battery,cell battery
🕯️,Candle,emergency
🔌,Electric Plug,electricity source
🤡,Clown Face,clown face
🔥,Fire,absolute fire
🚂,Locomotive,historical travel
📱,Mobile Phone,phone technology
⌛,Hourglass Done,sand timer
🥳,Partying Face,celebration time
😎,Smiling Face with Sunglasses,sunny
✂️,Scissors,blades
🐶,Dog Face,barking
🍺,Beer Mug,ale
🧪,Test Tube,scientific testing
😭,Loudly Crying Face,this is so unfair
📑,Bookmark Tabs,tabs page
✏️,Pencil,draft
🥳,Partying Face,party time
🔭,Telescope,sky exploration
⌛,Hourglass Done,hourglass sand
🍎,Red Apple,healthy apple
🌈,Rainbow,diversity
💻,Laptop,coding
✂️,Scissors,scissors metal
🧬,DNA,biological dna
💡,Light Bulb,moment
🚀,Rocket,space
🤔,Thinking Face,serious thought
🎸,Guitar,band guitar
📱,Mobile Phone,mobile
😂,Face with Tears of Joy,dying inside laughing
🤣,Rolling on the Floor Laughing,comedy
🥳,Partying Face,confetti
🔋,Battery,battery
🍔,Hamburger,fast meal
🛋️,Couch and Lamp,livingroom couch
🤣,Rolling on the Floor Laughing,that is absolutely hysterical
📸,Camera with Flash,shutter camera
🌡️,Thermometer,climate thermometer
📱,Mobile Phone,phone
❄️,Snowflake,flake
🤡,Clown Face,colorful paint
✈️,Airplane,jet flight
🚲,Bicycle,road bike
⌚,Watch,smart
📡,Satellite Antenna,radio waves
🧼,Soap,soap water
🔔,Bell,ringing for attention
🎁,Wrapped Gift,holiday
🛏️,Bed,lying
🔌,Electric Plug,hardware cord
🔋,Battery,battery storage
🔦,Flashlight,portable lamp
🍎,Red Apple,fruit
🖋️,Fountain Pen,elegant writing
🛁,Bathtub,bathroom
🥗,Green Salad,eating fresh greens
🥗,Green Salad,vegetable salad
💔,Broken Heart,end of a relationship
☀️,Sun,sunny morning
🖋️,Fountain Pen,flow
🖋️,Fountain Pen,pen fountain
🧬,DNA,dna
❤️,Red Heart,i adore this
🌍,Globe Showing Europe-Africa,global community
🧺,Basket,harvest
🚽,Toilet,bowl
🕰️,Mantelpiece Clock,fashioned
🛏️,Bed,bed sheets
🧺,Basket,items
🎾,Tennis,tour
🌍,Globe Showing Europe-Africa,world globe
🧹,Broom,tidy up house
📡,Satellite Antenna,tv broadcast
✈️,Airplane,international travel
🍷,Wine Glass,wine glass
💔,Broken Heart,relationship
🔥,Fire,look is lit
🎸,Guitar,player
🍷,Wine Glass,wine alcohol
🔨,Hammer,renovation
🕰️,Mantelpiece Clock,antique
📍,Round Pushpin,map pin
🙏,Folded Hands,prayer time
🚂,Locomotive,smoke from funnel
🧹,Broom,sweep room
😂,Face with Tears of Joy,laughing face
📏,Straight Ruler,scale
🤔,Thinking Face,thinking about it
💻,Laptop,remote work office
🔨,Hammer,hammer home
📱,Mobile Phone,phone gadget
🔥,Fire,stay spicy and hot
☀️,Sun,daylight
💔,Broken Heart,lonely
🏀,Basketball,sports ball
🧪,Test Tube,test
🤣,Rolling on the Floor Laughing,the funniest thing today
🛳️,Passenger Ship,water transport
🧼,Soap,washing
🚽,Toilet,hygiene toilet
🧺,Basket,laundry basket
🧪,Test Tube,tube experiment
🌍,Globe Showing Europe-Africa,environment and nature
🚗,Automobile,red car
🔒,Locked,locked padlock
🖋️,Fountain Pen,pen signature
⌚,Watch,checking watch
📚,Books,school supplies
🧸,Teddy Bear,cuddly toy
🏠,House,architecture
☕,Hot Beverage,hot drink break
🏮,Red Paper Lantern,lantern festive
🍦,Soft Serve,sweet
🧪,Test Tube,lab
🍺,Beer Mug,craft beer taste
🕰️,Mantelpiece Clock,clock
🔨,Hammer,driving a nail
📈,Chart Increasing,making huge progress
✂️,Scissors,metal scissors
🍎,Red Apple,crunchy red skin
🔦,Flashlight,light
💰,Money Bag,money dollar
📈,Chart Increasing,growth vibes
🎸,Guitar,guitar player
🍰,Shortcake,party food slice
🔋,Battery,electronic energy
🔬,Microscope,medical testing
👍,Thumbs Up,great work on that
😊,Smiling Face with Smiling Eyes,warm
🍦,Soft Serve,soft
🛁,Bathtub,bathtub bubbles
🛋️,Couch and Lamp,lamp couch
🍷,Wine Glass,party wine
💻,Laptop,developer
🎸,Guitar,strumming the chords
🙄,Face with Rolling Eyes,impatient
💰,Money Bag,dollar sign bag
🍷,Wine Glass,grapes
🍺,Beer Mug,beer glass
🤡,Clown Face,circus vibes
🗺️,World Map,navigation map
🤣,Rolling on the Floor Laughing,hurting
👍,Thumbs Up,good job well done
👍,Thumbs Up,alright
📡,Satellite Antenna,transmission
🌈,Rainbow,luck and magic
🧪,Test Tube,tube glass
🚂,Locomotive,railway transport
🛳️,Passenger Ship,ship travel
📏,Straight Ruler,school
🥗,Green Salad,diet
🛋️,Couch and Lamp,cozy corner
😍,Smiling Face with Heart-Eyes,crazy in love with it
📑,Bookmark Tabs,library tabs
🔑,Key,key building
🗺️,World Map,planning a trip
🌈,Rainbow,wonder
🔭,Telescope,planet telescope
😴,Sleeping Face,quiet face
😭,Loudly Crying Face,miserable day
❤️,Red Heart,big red heart
👍,Thumbs Up,cool beans
🧬,DNA,structure dna
💻,Laptop,device laptop
🐱,Cat Face,cat kitten
🧼,Soap,bathroom supply
☀️,Sun,beautiful daylight
🗺️,World Map,path map
🎁,Wrapped Gift,special delivery
😭,Loudly Crying Face,heart is broken
🧹,Broom,witch's flight
📍,Round Pushpin,specific place found
🛏️,Bed,sleeping at night
🔬,Microscope,lab microscope
⚽,Soccer Ball,field
🍷,Wine Glass,vineyard and grapes
☕,Hot Beverage,cozy hot
🪒,Razor,grooming tool
🍰,Shortcake,cream cake
💊,Pill,pill health
👍,Thumbs Up,yes please
🕯️,Candle,old fashioned lamp
💊,Pill,drug capsule
🧬,DNA,dna helix
🧺,Basket,picnic basket
🐶,Dog Face,loyal pet animal
🔌,Electric Plug,plug cord
🧬,DNA,dna genes
🛏️,Bed,bedroom bed
🛏️,Bed,place to rest
🍷,Wine Glass,sophisticated drink
🔔,Bell,music
🤡,Clown Face,making a mockery
🌈,Rainbow,luck sign
🔑,Key,security and access
😂,Face with Tears of Joy,laughing emojis
🐱,Cat Face,kitten cat
🍷,Wine Glass,vineyard
🗺️,World Map,view
🏠,House,house property
🏠,House,property home
🪒,Razor,edge
☕,Hot Beverage,hot tea
🗺️,World Map,world
💔,Broken Heart,sad
🛳️,Passenger Ship,ocean
🧹,Broom,wooden handle
🔥,Fire,doing great
❤️,Red Heart,lovely vibes
🔨,Hammer,repair
🧭,Compass,orienting oneself
📏,Straight Ruler,precision
🔌,Electric Plug,wall plug wire
🤡,Clown Face,funny but weird
🧹,Broom,floor
😂,Face with Tears of Joy,absolute clowning
🎾,Tennis,racket ball
🌧️,Cloud with Rain,rain drop
🥪,Sandwich,food for picnic
🌧️,Cloud with Rain,storm rain
🚿,Shower,bathroom hygiene
🔔,Bell,calling the crowd
💻,Laptop,browsing laptop
🌡️,Thermometer,thermometer
💀,Skull,dead inside today
